STT,Mã MH,Tên môn học,TC,Khoa/BM quản lý,Khoa/BM đang sử dụng
35,203553,Nguyên lý bệnh 1,4,CN THÚ Y,,
36,203953,Anh văn chuyên ngành I,3,CN THÚ Y,,
37,203954,Anh văn chuyên ngành II,3,CN THÚ Y,,
38,217104,Nhiệt kỹ thuật ,2,CN HÓA HỌC,,
39,217102,Hóa lý CNHH,3,CN HÓA HỌC,,
40,217701,TN hóa hữu cơ nâng cao.,2,CN HÓA HỌC,,
41,217702,TN hóa vô cơ nâng cao,2,CN HÓA HỌC,,
42,217103,Tính chất công nghệ vật liệu,2,CN HÓA HỌC,,
43,217221,Công nghệ màng lọc,2,CN HÓA HỌC,,
44,217402,Khoa học đất và phân bón,2,CN HÓA HỌC,,
45,217505,Thực phẩm chức năng,2,CN HÓA HỌC,,
46,217407,CN vật liệu & cao su,3,CN HÓA HỌC,,
47,217602,Kỹ thuật hệ thống sinh học,3,CN HÓA HỌC,,
48,211107,Công nghệ SH đại cương,2,CN HÓA HỌC,,
49,202403,Đa dạng sinh học,2,KHOA HỌC,CN SINH HOC,
50,203203,Di truyền học đại dương,3,CN THU Y,CN SINH HOC,
51,203104,Sinh hoá đại cương,3,CN THU Y,CN SINH HOC,
52,211122,Sinh thái học cơ bản,2,CN SINH HOC,,
53,211416,Đánh giá ô nhiễm,2,CN SINH HOC,,
54,211417,Thực tập đánh giá ô nhiễm,1,CN SINH HOC,,
55,211512,Kiểm nghiệm vi sinh thực phẩm,2,CN SINH HOC,,
56,203511,Miễn dịch học đại cương,3,CN THU Y,CN SINH HOC,
57,212109,Quản lý tài nguyên thiên nhiên,2,MÔI TRƯỜNG VÀ TN,CN SINH HOC,
58,211131,Hóa độc chất môi trường,3,CN SINH HOC,,
59,211132,Thực hành hóa Độc chất MT,1,CN SINH HOC,,
60,205610,Công nghệ bảo quản gỗ,2,LÂM NGHIỆP,,
61,205813,Dự toán công trình nội thất,2,LÂM NGHIỆP,,
62,204205,Chọn giống cây trồng,2,NÔNG HỌC,MÔI TRƯỜNG VÀ TN,
63,202403,Đa dạng sinh học,2,KHOA HỌC,MÔI TRƯỜNG VÀ TN,
64,202412,Sinh thái học,2,KHOA HỌC,MÔI TRƯỜNG VÀ TN,
65,208438,Quản trị dự án,2,KINH TẾ,MÔI TRƯỜNG VÀ TN,
66,204606,Khí tượng đại cương,2,NÔNG HỌC,MÔI TRƯỜNG VÀ TN,
67,216103,Giá thể và DD cây trồng,3,MÔI TRƯỜNG VÀ TN,MÔI TRƯỜNG VÀ TN,
68,216103,Giá thể và DD cây trồng,3,MÔI TRƯỜNG VÀ TN,MÔI TRƯỜNG VÀ TN,
69,216113,Sâu bệnh hại hoa hồng,2,MÔI TRƯỜNG VÀ TN,MÔI TRƯỜNG VÀ TN,
70,204715,Bệnh cây đại cương,3,NÔNG HỌC,MÔI TRƯỜNG VÀ TN,
71,216316,UD tr.hoc Đ.phương trong TKCQ,2,MÔI TRƯỜNG VÀ TN,,
72,208114,Luật kinh tế,2,KINH TẾ,,
73,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,
74,208529,Kiến tập chuyên ngành PT,2,KINH TẾ,,
75,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,
76,208444,Marketing nông nghiệp,2,KINH TẾ,,
77,208816,Tiếng anh chuyên ngành,3,KINH TẾ,,
78,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,
79,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,
80,208403,Phương pháp NCKH Quản trị,2,KINH TẾ,,
81,208621,Phương pháp NCKH TN_MT,2,KINH TẾ,,
82,208468,Phương pháp nguyên cứu KH,2,KINH TẾ,,
83,205221,Kinh tế tài nguyên môi trường,3,LÂM NGHIỆP,,
84,208349,Ngoại ngữ chuyên ngành,3,KINH TẾ,,
85,209509,Phong thủy ứng dụng,3,QUẢN LÝ ĐO & BĐS,,
86,208223,Kinh tế lượng ứng dụng,2,KINH TẾ,,
87,208518,Hệ thống thông tin địa lý,3,KINH TẾ,,
88,208501,Dự án phát triển,3,KINH TẾ,,
89,208504,Quản trị dự án lâm nghiệp,2,KINH TẾ,,
90,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,
91,208911,Kế toán tài chính 4,3,KINH TẾ,,
92,208912,Kế toán tài chính 5,3,KINH TẾ,,
93,213201,Theory of translation,3,NGOẠI NGỮ SƯ PHẠM,,
94,215105,Tiếng việt thực hành,2,NGOẠI NGỮ SƯ PHẠM,,
95,213501,Introduction to Literature,2,NGOẠI NGỮ SƯ PHẠM,,
96,213502,British Studies,2,NGOẠI NGỮ SƯ PHẠM,,
97,213503,American Studies,2,NGOẠI NGỮ SƯ PHẠM,,
98,213504,British Literature,3,NGOẠI NGỮ SƯ PHẠM,,
99,213505,American Literature,3,NGOẠI NGỮ SƯ PHẠM,,
100,212506,Lịch sử văn minh phương Tây,2,NGOẠI NGỮ SƯ PHẠM,,
101,213507,Lịch sử văn minh phương Đông,2,NGOẠI NGỮ SƯ PHẠM,,
102,213902,Phương pháp nguyên cứu KH,2,NGOẠI NGỮ SƯ PHẠM,,
103,213302,Educational Psycholoov,3,NGOẠI NGỮ SƯ PHẠM,,
104,213303,TESOL methodology 1 ,3,NGOẠI NGỮ SƯ PHẠM,,
105,213304,TESOL methodology 2,3,NGOẠI NGỮ SƯ PHẠM,,
106,213305,Classroom Obvervation,3,NGOẠI NGỮ SƯ PHẠM,,
107,213306,Teaching practice,3,NGOẠI NGỮ SƯ PHẠM,,
108,213908,Tổng hợp chuyên ngành,3,NGOẠI NGỮ SƯ PHẠM,,
109,209223,Phân tích và thiết kế HTTTNĐ,3,QUẢN LÝ ĐO & BĐS,,
110,209102,Trắc địa địa chính,3,QUẢN LÝ ĐO & BĐS,,
111,209106,Trắc địa ảnh hàng không,3,QUẢN LÝ ĐO & BĐS,,
112,200107,Viễn thám cơ sở,3,QUẢN LÝ ĐO & BĐS,,
113,209108,Viễn thám ứng dụng,2,QUẢN LÝ ĐO & BĐS,,
114,209112,Bản đồ địa hình,2,QUẢN LÝ ĐO & BĐS,,
115,209115,Kỹ thuật bản đồ số,2,QUẢN LÝ ĐO & BĐS,,
116,209121,Lưu trữ hồ sơ địa chính,2,QUẢN LÝ ĐO & BĐS,,
117,209202,Kinh tế đất đai,2,QUẢN LÝ ĐO & BĐS,,
118,209409,Quản lý sàn giao dịch ĐĐS,2,QUẢN LÝ ĐO & BĐS,,
119,209416,Nguyên lý bất cộng sản,2,QUẢN LÝ ĐO & BĐS,,
120,209404,Luật đầu tư,2,QUẢN LÝ ĐO & BĐS,,
121,209215,Luật xây dựng và luật nhà ở,2,QUẢN LÝ ĐO & BĐS,,
122,209215,Luật xây dựng và luật nhà ở,2,QUẢN LÝ ĐO & BĐS,,
123,209406,Đăng ký thống kê đất đai,2,QUẢN LÝ ĐO & BĐS,,
124,209406,Đăng ký thống kê đất đai,2,QUẢN LÝ ĐO & BĐS,,
125,209216,Bồi thường giải phóng mặt bằng,2,QUẢN LÝ ĐO & BĐS,,
126,209301,Tài nguyên đất đai,3,QUẢN LÝ ĐO & BĐS,,
127,200304,Quy hoạch tổng thể KT-XH ,2,QUẢN LÝ ĐO & BĐS,,
128,200306,Quy hoạch đồ thị,3,QUẢN LÝ ĐO & BĐS,,
129,209307,Quy hoạch phát triển nông thôn,2,QUẢN LÝ ĐO & BĐS,,
130,204306,Nông học đại cương,2,NÔNG HỌC,,
131,203608,Nông học đại cương,2,NÔNG HỌC,,
132,204919,Phương pháp tiếp cận khoa học,1,NÔNG HỌC,,
133,204606,Khí tượng đại cương,2,NÔNG HỌC,,
134,204901,Khuyết nông,2,NÔNG HỌC,,
135,204805,Rèn nghề 1,1,NÔNG HỌC,,
136,204805,Rèn nghề 1,1,NÔNG HỌC,,
137,204612,Phương pháp thí nghiệm 2,3,NÔNG HỌC,,
138,204716,Côn trùng đại cương,3,NÔNG HỌC,,
139,204718,Côn trùng chuyên khoa,3,NÔNG HỌC,,
140,204717,Bệnh cây chuyên khoa,3,NÔNG HỌC,,
141,204730,Kiểm dịch thực vật,2,NÔNG HỌC,,
142,204516,Cây CNNN 1a (Mía + Thuốc lá),2,NÔNG HỌC,,
143,204524,Cây CNNN 1b (Mía + Đay),2,NÔNG HỌC,,
144,204515,Cây CNNN 2a (Cà phê + Chè),2,NÔNG HỌC,,
145,204514,Cây CNNN 2 (Đ.Nành + Phụng),2,NÔNG HỌC,,
146,204526,Cây CNNN 2b (Đ.Nành + Mè),2,NÔNG HỌC,,
147,204527,Cây CNNN 2c (Đ.Phụng + Mè),2,NÔNG HỌC,,
148,204611,Quản lý nước trong nông nghiệp,2,NÔNG HỌC,,
149,204727,Môi trường nông nghiệp,2,NÔNG HỌC,,
150,210232,CNCB dầu và chất báo TP,2,CN THỰC PHẨM,,
151,212335,Nước tải & các QT xử lý nước,2,MÔI TRƯỜNG & TN,CN THỰC PHẨM,
152,213655,Anh văn tổng quát 1,3,CN THỰC PHẨM,,
153,213656,Anh văn tổng quát 2,3,CN THỰC PHẨM,,
154,210255,Hóa sinh đại cương,3,CN THỰC PHẨM,,
155,210550,Dinh dưỡng đại cương,2,CN THỰC PHẨM,,
156,210314,Tính chất công nghệ vật liệu,2,CN THỰC PHẨM,,
157,210952,Thực tập rèn nghề,1,CN THỰC PHẨM,,
158,210354,Truyền nhiệt và truyền khối,2,CN THỰC PHẨM,,
159,210355,Quá trình đông lạnh thực phẩm,2,CN THỰC PHẨM,,
160,210154,Khoa học cảm quan thực phẩm,3,CN THỰC PHẨM,,
161,210356,Bao bì thực phẩm,2,CN THỰC PHẨM,,
162,210405,Nguyên lý bảo quản thực phẩm,2,CN THỰC PHẨM,,
163,210552,Ng.lý đảm bảo CL trong CBTP,2,CN THỰC PHẨM,,
164,210551,PP Phân tích thực phẩm,3,CN THỰC PHẨM,,
165,210253,Công nghệ chế biến thức uống,3,CN THỰC PHẨM,,
166,210254,CN chế biến dầu mỡ thực phẩm,2,CN THỰC PHẨM,,
167,210315,CN chế biến trà;cà phê; ca ca,3,CN THỰC PHẨM,,
168,207213,Kỹ thuật thực phẩm,3,CƠ KHÍ,,
169,207228,Máy chế biến 2,3,CƠ KHÍ,,
170,207115,Thực tập gia công,2,CƠ KHÍ,,
171,207115,Thực tập gia công,2,CƠ KHÍ,,
172,207116,Tin học ứng dụng(CAD;OrCAD),2,CƠ KHÍ,,
173,207809,Kỹ thuật ROBOT 2,3,CƠ KHÍ,,
174,207703,Cấu tạo động cơ Ôtô; máy kÐo,3,CƠ KHÍ,,
175,207402,Kỹ thuật lạnh,3,CƠ KHÍ,,
176,207408,Nẵng lượng mặt trời và s.khối,3,CƠ KHÍ,,
177,207424,Thiết bị sấy,3,CƠ KHÍ,,
178,207703,Cấu tạo động cơ Ôtô; máy kĐo,3,CƠ KHÍ,,
179,207716,Nh.liệu dầu mờ và chất tẩy rửa,2,CƠ KHÍ,,
