date_sk, full_date,day_since_2005 ,month_since_2005,day_of_week,calendar_month , calendar_year , calendar_year_month ,day_of_month , day_of_year , week_of_year_sunday , year_week_sunday , week_sunday_start , week_of_year_monday , year_week_monday , week_monday_start, holiday ,day_type ,quarter_of_year , quarter_since_2005
13,1981-01-13,13,1,Tuesday,January,1981,1981-Jan,13,13,2,1981-W02,1981-01-11,3,1981-W03,1981-01-12,Non-Holiday,Weekday,1981-Q1,1
14,1981-01-14,14,1,Wednesday,January,1981,1981-Jan,14,14,2,1981-W02,1981-01-11,3,1981-W03,1981-01-12,Non-Holiday,Weekday,1981-Q1,1
15,1981-01-15,15,1,Thursday,January,1981,1981-Jan,15,15,2,1981-W02,1981-01-11,3,1981-W03,1981-01-12,Non-Holiday,Weekday,1981-Q1,1
16,1981-01-16,16,1,Friday,January,1981,1981-Jan,16,16,2,1981-W02,1981-01-11,3,1981-W03,1981-01-12,Non-Holiday,Weekday,1981-Q1,1
17,1981-01-17,17,1,Saturday,January,1981,1981-Jan,17,17,2,1981-W02,1981-01-11,3,1981-W03,1981-01-12,Non-Holiday,Weekend,1981-Q1,1
18,1981-01-18,18,1,Sunday,January,1981,1981-Jan,18,18,3,1981-W03,1981-01-18,3,1981-W03,1981-01-12,Non-Holiday,Weekend,1981-Q1,1
19,1981-01-19,19,1,Monday,January,1981,1981-Jan,19,19,3,1981-W03,1981-01-18,4,1981-W04,1981-01-19,Non-Holiday,Weekday,1981-Q1,1
20,1981-01-20,20,1,Tuesday,January,1981,1981-Jan,20,20,3,1981-W03,1981-01-18,4,1981-W04,1981-01-19,Non-Holiday,Weekday,1981-Q1,1
21,1981-01-21,21,1,Wednesday,January,1981,1981-Jan,21,21,3,1981-W03,1981-01-18,4,1981-W04,1981-01-19,Non-Holiday,Weekday,1981-Q1,1
22,1981-01-22,22,1,Thursday,January,1981,1981-Jan,22,22,3,1981-W03,1981-01-18,4,1981-W04,1981-01-19,Non-Holiday,Weekday,1981-Q1,1
23,1981-01-23,23,1,Friday,January,1981,1981-Jan,23,23,3,1981-W03,1981-01-18,4,1981-W04,1981-01-19,Non-Holiday,Weekday,1981-Q1,1
24,1981-01-24,24,1,Saturday,January,1981,1981-Jan,24,24,3,1981-W03,1981-01-18,4,1981-W04,1981-01-19,Non-Holiday,Weekend,1981-Q1,1
25,1981-01-25,25,1,Sunday,January,1981,1981-Jan,25,25,4,1981-W04,1981-01-25,4,1981-W04,1981-01-19,Non-Holiday,Weekend,1981-Q1,1
26,1981-01-26,26,1,Monday,January,1981,1981-Jan,26,26,4,1981-W04,1981-01-25,5,1981-W05,1981-01-26,Non-Holiday,Weekday,1981-Q1,1
27,1981-01-27,27,1,Tuesday,January,1981,1981-Jan,27,27,4,1981-W04,1981-01-25,5,1981-W05,1981-01-26,Non-Holiday,Weekday,1981-Q1,1
28,1981-01-28,28,1,Wednesday,January,1981,1981-Jan,28,28,4,1981-W04,1981-01-25,5,1981-W05,1981-01-26,Non-Holiday,Weekday,1981-Q1,1
29,1981-01-29,29,1,Thursday,January,1981,1981-Jan,29,29,4,1981-W04,1981-01-25,5,1981-W05,1981-01-26,Non-Holiday,Weekday,1981-Q1,1
30,1981-01-30,30,1,Friday,January,1981,1981-Jan,30,30,4,1981-W04,1981-01-25,5,1981-W05,1981-01-26,Non-Holiday,Weekday,1981-Q1,1
31,1981-01-31,31,1,Saturday,January,1981,1981-Jan,31,31,4,1981-W04,1981-01-25,5,1981-W05,1981-01-26,Non-Holiday,Weekend,1981-Q1,1
32,1981-02-01,32,2,Sunday,February,1981,1981-Feb,1,32,5,1981-W05,1981-02-01,5,1981-W05,1981-01-26,Non-Holiday,Weekend,1981-Q1,1
33,1981-02-02,33,2,Monday,February,1981,1981-Feb,2,33,5,1981-W05,1981-02-01,6,1981-W06,1981-02-02,Non-Holiday,Weekday,1981-Q1,1
34,1981-02-03,34,2,Tuesday,February,1981,1981-Feb,3,34,5,1981-W05,1981-02-01,6,1981-W06,1981-02-02,Non-Holiday,Weekday,1981-Q1,1
35,1981-02-04,35,2,Wednesday,February,1981,1981-Feb,4,35,5,1981-W05,1981-02-01,6,1981-W06,1981-02-02,Non-Holiday,Weekday,1981-Q1,1
36,1981-02-05,36,2,Thursday,February,1981,1981-Feb,5,36,5,1981-W05,1981-02-01,6,1981-W06,1981-02-02,Non-Holiday,Weekday,1981-Q1,1
37,1981-02-06,37,2,Friday,February,1981,1981-Feb,6,37,5,1981-W05,1981-02-01,6,1981-W06,1981-02-02,Non-Holiday,Weekday,1981-Q1,1
38,1981-02-07,38,2,Saturday,February,1981,1981-Feb,7,38,5,1981-W05,1981-02-01,6,1981-W06,1981-02-02,Non-Holiday,Weekend,1981-Q1,1
39,1981-02-08,39,2,Sunday,February,1981,1981-Feb,8,39,6,1981-W06,1981-02-08,6,1981-W06,1981-02-02,Non-Holiday,Weekend,1981-Q1,1
40,1981-02-09,40,2,Monday,February,1981,1981-Feb,9,40,6,1981-W06,1981-02-08,7,1981-W07,1981-02-09,Non-Holiday,Weekday,1981-Q1,1
41,1981-02-10,41,2,Tuesday,February,1981,1981-Feb,10,41,6,1981-W06,1981-02-08,7,1981-W07,1981-02-09,Non-Holiday,Weekday,1981-Q1,1
42,1981-02-11,42,2,Wednesday,February,1981,1981-Feb,11,42,6,1981-W06,1981-02-08,7,1981-W07,1981-02-09,Non-Holiday,Weekday,1981-Q1,1
43,1981-02-12,43,2,Thursday,February,1981,1981-Feb,12,43,6,1981-W06,1981-02-08,7,1981-W07,1981-02-09,Non-Holiday,Weekday,1981-Q1,1
44,1981-02-13,44,2,Friday,February,1981,1981-Feb,13,44,6,1981-W06,1981-02-08,7,1981-W07,1981-02-09,Non-Holiday,Weekday,1981-Q1,1
45,1981-02-14,45,2,Saturday,February,1981,1981-Feb,14,45,6,1981-W06,1981-02-08,7,1981-W07,1981-02-09,Non-Holiday,Weekend,1981-Q1,1
46,1981-02-15,46,2,Sunday,February,1981,1981-Feb,15,46,7,1981-W07,1981-02-15,7,1981-W07,1981-02-09,Non-Holiday,Weekend,1981-Q1,1
47,1981-02-16,47,2,Monday,February,1981,1981-Feb,16,47,7,1981-W07,1981-02-15,8,1981-W08,1981-02-16,Non-Holiday,Weekday,1981-Q1,1
48,1981-02-17,48,2,Tuesday,February,1981,1981-Feb,17,48,7,1981-W07,1981-02-15,8,1981-W08,1981-02-16,Non-Holiday,Weekday,1981-Q1,1
49,1981-02-18,49,2,Wednesday,February,1981,1981-Feb,18,49,7,1981-W07,1981-02-15,8,1981-W08,1981-02-16,Non-Holiday,Weekday,1981-Q1,1
50,1981-02-19,50,2,Thursday,February,1981,1981-Feb,19,50,7,1981-W07,1981-02-15,8,1981-W08,1981-02-16,Non-Holiday,Weekday,1981-Q1,1
51,1981-02-20,51,2,Friday,February,1981,1981-Feb,20,51,7,1981-W07,1981-02-15,8,1981-W08,1981-02-16,Non-Holiday,Weekday,1981-Q1,1
52,1981-02-21,52,2,Saturday,February,1981,1981-Feb,21,52,7,1981-W07,1981-02-15,8,1981-W08,1981-02-16,Non-Holiday,Weekend,1981-Q1,1
53,1981-02-22,53,2,Sunday,February,1981,1981-Feb,22,53,8,1981-W08,1981-02-22,8,1981-W08,1981-02-16,Non-Holiday,Weekend,1981-Q1,1
54,1981-02-23,54,2,Monday,February,1981,1981-Feb,23,54,8,1981-W08,1981-02-22,9,1981-W09,1981-02-23,Non-Holiday,Weekday,1981-Q1,1
55,1981-02-24,55,2,Tuesday,February,1981,1981-Feb,24,55,8,1981-W08,1981-02-22,9,1981-W09,1981-02-23,Non-Holiday,Weekday,1981-Q1,1
56,1981-02-25,56,2,Wednesday,February,1981,1981-Feb,25,56,8,1981-W08,1981-02-22,9,1981-W09,1981-02-23,Non-Holiday,Weekday,1981-Q1,1
57,1981-02-26,57,2,Thursday,February,1981,1981-Feb,26,57,8,1981-W08,1981-02-22,9,1981-W09,1981-02-23,Non-Holiday,Weekday,1981-Q1,1
58,1981-02-27,58,2,Friday,February,1981,1981-Feb,27,58,8,1981-W08,1981-02-22,9,1981-W09,1981-02-23,Non-Holiday,Weekday,1981-Q1,1
59,1981-02-28,59,2,Saturday,February,1981,1981-Feb,28,59,8,1981-W08,1981-02-22,9,1981-W09,1981-02-23,Non-Holiday,Weekend,1981-Q1,1
60,1981-03-01,60,3,Sunday,March,1981,1981-Mar,1,60,9,1981-W09,1981-03-01,9,1981-W09,1981-02-23,Non-Holiday,Weekend,1981-Q1,1
61,1981-03-02,61,3,Monday,March,1981,1981-Mar,2,61,9,1981-W09,1981-03-01,10,1981-W10,1981-03-02,Non-Holiday,Weekday,1981-Q1,1
62,1981-03-03,62,3,Tuesday,March,1981,1981-Mar,3,62,9,1981-W09,1981-03-01,10,1981-W10,1981-03-02,Non-Holiday,Weekday,1981-Q1,1
63,1981-03-04,63,3,Wednesday,March,1981,1981-Mar,4,63,9,1981-W09,1981-03-01,10,1981-W10,1981-03-02,Non-Holiday,Weekday,1981-Q1,1
64,1981-03-05,64,3,Thursday,March,1981,1981-Mar,5,64,9,1981-W09,1981-03-01,10,1981-W10,1981-03-02,Non-Holiday,Weekday,1981-Q1,1
65,1981-03-06,65,3,Friday,March,1981,1981-Mar,6,65,9,1981-W09,1981-03-01,10,1981-W10,1981-03-02,Non-Holiday,Weekday,1981-Q1,1
66,1981-03-07,66,3,Saturday,March,1981,1981-Mar,7,66,9,1981-W09,1981-03-01,10,1981-W10,1981-03-02,Non-Holiday,Weekend,1981-Q1,1
67,1981-03-08,67,3,Sunday,March,1981,1981-Mar,8,67,10,1981-W10,1981-03-08,10,1981-W10,1981-03-02,Non-Holiday,Weekend,1981-Q1,1
68,1981-03-09,68,3,Monday,March,1981,1981-Mar,9,68,10,1981-W10,1981-03-08,11,1981-W11,1981-03-09,Non-Holiday,Weekday,1981-Q1,1
69,1981-03-10,69,3,Tuesday,March,1981,1981-Mar,10,69,10,1981-W10,1981-03-08,11,1981-W11,1981-03-09,Non-Holiday,Weekday,1981-Q1,1
70,1981-03-11,70,3,Wednesday,March,1981,1981-Mar,11,70,10,1981-W10,1981-03-08,11,1981-W11,1981-03-09,Non-Holiday,Weekday,1981-Q1,1
71,1981-03-12,71,3,Thursday,March,1981,1981-Mar,12,71,10,1981-W10,1981-03-08,11,1981-W11,1981-03-09,Non-Holiday,Weekday,1981-Q1,1
72,1981-03-13,72,3,Friday,March,1981,1981-Mar,13,72,10,1981-W10,1981-03-08,11,1981-W11,1981-03-09,Non-Holiday,Weekday,1981-Q1,1
73,1981-03-14,73,3,Saturday,March,1981,1981-Mar,14,73,10,1981-W10,1981-03-08,11,1981-W11,1981-03-09,Non-Holiday,Weekend,1981-Q1,1
74,1981-03-15,74,3,Sunday,March,1981,1981-Mar,15,74,11,1981-W11,1981-03-15,11,1981-W11,1981-03-09,Non-Holiday,Weekend,1981-Q1,1
75,1981-03-16,75,3,Monday,March,1981,1981-Mar,16,75,11,1981-W11,1981-03-15,12,1981-W12,1981-03-16,Non-Holiday,Weekday,1981-Q1,1
76,1981-03-17,76,3,Tuesday,March,1981,1981-Mar,17,76,11,1981-W11,1981-03-15,12,1981-W12,1981-03-16,Non-Holiday,Weekday,1981-Q1,1
77,1981-03-18,77,3,Wednesday,March,1981,1981-Mar,18,77,11,1981-W11,1981-03-15,12,1981-W12,1981-03-16,Non-Holiday,Weekday,1981-Q1,1
78,1981-03-19,78,3,Thursday,March,1981,1981-Mar,19,78,11,1981-W11,1981-03-15,12,1981-W12,1981-03-16,Non-Holiday,Weekday,1981-Q1,1
79,1981-03-20,79,3,Friday,March,1981,1981-Mar,20,79,11,1981-W11,1981-03-15,12,1981-W12,1981-03-16,Non-Holiday,Weekday,1981-Q1,1
80,1981-03-21,80,3,Saturday,March,1981,1981-Mar,21,80,11,1981-W11,1981-03-15,12,1981-W12,1981-03-16,Non-Holiday,Weekend,1981-Q1,1
81,1981-03-22,81,3,Sunday,March,1981,1981-Mar,22,81,12,1981-W12,1981-03-22,12,1981-W12,1981-03-16,Non-Holiday,Weekend,1981-Q1,1
82,1981-03-23,82,3,Monday,March,1981,1981-Mar,23,82,12,1981-W12,1981-03-22,13,1981-W13,1981-03-23,Non-Holiday,Weekday,1981-Q1,1
83,1981-03-24,83,3,Tuesday,March,1981,1981-Mar,24,83,12,1981-W12,1981-03-22,13,1981-W13,1981-03-23,Non-Holiday,Weekday,1981-Q1,1
84,1981-03-25,84,3,Wednesday,March,1981,1981-Mar,25,84,12,1981-W12,1981-03-22,13,1981-W13,1981-03-23,Non-Holiday,Weekday,1981-Q1,1
85,1981-03-26,85,3,Thursday,March,1981,1981-Mar,26,85,12,1981-W12,1981-03-22,13,1981-W13,1981-03-23,Non-Holiday,Weekday,1981-Q1,1
86,1981-03-27,86,3,Friday,March,1981,1981-Mar,27,86,12,1981-W12,1981-03-22,13,1981-W13,1981-03-23,Non-Holiday,Weekday,1981-Q1,1
87,1981-03-28,87,3,Saturday,March,1981,1981-Mar,28,87,12,1981-W12,1981-03-22,13,1981-W13,1981-03-23,Non-Holiday,Weekend,1981-Q1,1
88,1981-03-29,88,3,Sunday,March,1981,1981-Mar,29,88,13,1981-W13,1981-03-29,13,1981-W13,1981-03-23,Non-Holiday,Weekend,1981-Q1,1
89,1981-03-30,89,3,Monday,March,1981,1981-Mar,30,89,13,1981-W13,1981-03-29,14,1981-W14,1981-03-30,Non-Holiday,Weekday,1981-Q1,1
90,1981-03-31,90,3,Tuesday,March,1981,1981-Mar,31,90,13,1981-W13,1981-03-29,14,1981-W14,1981-03-30,Non-Holiday,Weekday,1981-Q1,1
91,1981-04-01,91,4,Wednesday,April,1981,1981-Apr,1,91,13,1981-W13,1981-03-29,14,1981-W14,1981-03-30,Non-Holiday,Weekday,1981-Q2,2
92,1981-04-02,92,4,Thursday,April,1981,1981-Apr,2,92,13,1981-W13,1981-03-29,14,1981-W14,1981-03-30,Non-Holiday,Weekday,1981-Q2,2
93,1981-04-03,93,4,Friday,April,1981,1981-Apr,3,93,13,1981-W13,1981-03-29,14,1981-W14,1981-03-30,Non-Holiday,Weekday,1981-Q2,2
94,1981-04-04,94,4,Saturday,April,1981,1981-Apr,4,94,13,1981-W13,1981-03-29,14,1981-W14,1981-03-30,Non-Holiday,Weekend,1981-Q2,2
95,1981-04-05,95,4,Sunday,April,1981,1981-Apr,5,95,14,1981-W14,1981-04-05,14,1981-W14,1981-03-30,Non-Holiday,Weekend,1981-Q2,2
96,1981-04-06,96,4,Monday,April,1981,1981-Apr,6,96,14,1981-W14,1981-04-05,15,1981-W15,1981-04-06,Non-Holiday,Weekday,1981-Q2,2
97,1981-04-07,97,4,Tuesday,April,1981,1981-Apr,7,97,14,1981-W14,1981-04-05,15,1981-W15,1981-04-06,Non-Holiday,Weekday,1981-Q2,2
98,1981-04-08,98,4,Wednesday,April,1981,1981-Apr,8,98,14,1981-W14,1981-04-05,15,1981-W15,1981-04-06,Non-Holiday,Weekday,1981-Q2,2
99,1981-04-09,99,4,Thursday,April,1981,1981-Apr,9,99,14,1981-W14,1981-04-05,15,1981-W15,1981-04-06,Non-Holiday,Weekday,1981-Q2,2
100,1981-04-10,100,4,Friday,April,1981,1981-Apr,10,100,14,1981-W14,1981-04-05,15,1981-W15,1981-04-06,Non-Holiday,Weekday,1981-Q2,2
101,1981-04-11,101,4,Saturday,April,1981,1981-Apr,11,101,14,1981-W14,1981-04-05,15,1981-W15,1981-04-06,Non-Holiday,Weekend,1981-Q2,2
102,1981-04-12,102,4,Sunday,April,1981,1981-Apr,12,102,15,1981-W15,1981-04-12,15,1981-W15,1981-04-06,Non-Holiday,Weekend,1981-Q2,2
103,1981-04-13,103,4,Monday,April,1981,1981-Apr,13,103,15,1981-W15,1981-04-12,16,1981-W16,1981-04-13,Non-Holiday,Weekday,1981-Q2,2
104,1981-04-14,104,4,Tuesday,April,1981,1981-Apr,14,104,15,1981-W15,1981-04-12,16,1981-W16,1981-04-13,Non-Holiday,Weekday,1981-Q2,2
105,1981-04-15,105,4,Wednesday,April,1981,1981-Apr,15,105,15,1981-W15,1981-04-12,16,1981-W16,1981-04-13,Non-Holiday,Weekday,1981-Q2,2
106,1981-04-16,106,4,Thursday,April,1981,1981-Apr,16,106,15,1981-W15,1981-04-12,16,1981-W16,1981-04-13,Non-Holiday,Weekday,1981-Q2,2
107,1981-04-17,107,4,Friday,April,1981,1981-Apr,17,107,15,1981-W15,1981-04-12,16,1981-W16,1981-04-13,Non-Holiday,Weekday,1981-Q2,2
108,1981-04-18,108,4,Saturday,April,1981,1981-Apr,18,108,15,1981-W15,1981-04-12,16,1981-W16,1981-04-13,Non-Holiday,Weekend,1981-Q2,2
109,1981-04-19,109,4,Sunday,April,1981,1981-Apr,19,109,16,1981-W16,1981-04-19,16,1981-W16,1981-04-13,Non-Holiday,Weekend,1981-Q2,2
110,1981-04-20,110,4,Monday,April,1981,1981-Apr,20,110,16,1981-W16,1981-04-19,17,1981-W17,1981-04-20,Non-Holiday,Weekday,1981-Q2,2
111,1981-04-21,111,4,Tuesday,April,1981,1981-Apr,21,111,16,1981-W16,1981-04-19,17,1981-W17,1981-04-20,Non-Holiday,Weekday,1981-Q2,2
112,1981-04-22,112,4,Wednesday,April,1981,1981-Apr,22,112,16,1981-W16,1981-04-19,17,1981-W17,1981-04-20,Non-Holiday,Weekday,1981-Q2,2
113,1981-04-23,113,4,Thursday,April,1981,1981-Apr,23,113,16,1981-W16,1981-04-19,17,1981-W17,1981-04-20,Non-Holiday,Weekday,1981-Q2,2
114,1981-04-24,114,4,Friday,April,1981,1981-Apr,24,114,16,1981-W16,1981-04-19,17,1981-W17,1981-04-20,Non-Holiday,Weekday,1981-Q2,2
115,1981-04-25,115,4,Saturday,April,1981,1981-Apr,25,115,16,1981-W16,1981-04-19,17,1981-W17,1981-04-20,Non-Holiday,Weekend,1981-Q2,2
116,1981-04-26,116,4,Sunday,April,1981,1981-Apr,26,116,17,1981-W17,1981-04-26,17,1981-W17,1981-04-20,Non-Holiday,Weekend,1981-Q2,2
117,1981-04-27,117,4,Monday,April,1981,1981-Apr,27,117,17,1981-W17,1981-04-26,18,1981-W18,1981-04-27,Non-Holiday,Weekday,1981-Q2,2
118,1981-04-28,118,4,Tuesday,April,1981,1981-Apr,28,118,17,1981-W17,1981-04-26,18,1981-W18,1981-04-27,Non-Holiday,Weekday,1981-Q2,2
119,1981-04-29,119,4,Wednesday,April,1981,1981-Apr,29,119,17,1981-W17,1981-04-26,18,1981-W18,1981-04-27,Non-Holiday,Weekday,1981-Q2,2
120,1981-04-30,120,4,Thursday,April,1981,1981-Apr,30,120,17,1981-W17,1981-04-26,18,1981-W18,1981-04-27,Non-Holiday,Weekday,1981-Q2,2
121,1981-05-01,121,5,Friday,May,1981,1981-May,1,121,17,1981-W17,1981-04-26,18,1981-W18,1981-04-27,Non-Holiday,Weekday,1981-Q2,2
122,1981-05-02,122,5,Saturday,May,1981,1981-May,2,122,17,1981-W17,1981-04-26,18,1981-W18,1981-04-27,Non-Holiday,Weekend,1981-Q2,2
123,1981-05-03,123,5,Sunday,May,1981,1981-May,3,123,18,1981-W18,1981-05-03,18,1981-W18,1981-04-27,Non-Holiday,Weekend,1981-Q2,2
124,1981-05-04,124,5,Monday,May,1981,1981-May,4,124,18,1981-W18,1981-05-03,19,1981-W19,1981-05-04,Non-Holiday,Weekday,1981-Q2,2
125,1981-05-05,125,5,Tuesday,May,1981,1981-May,5,125,18,1981-W18,1981-05-03,19,1981-W19,1981-05-04,Non-Holiday,Weekday,1981-Q2,2
126,1981-05-06,126,5,Wednesday,May,1981,1981-May,6,126,18,1981-W18,1981-05-03,19,1981-W19,1981-05-04,Non-Holiday,Weekday,1981-Q2,2
127,1981-05-07,127,5,Thursday,May,1981,1981-May,7,127,18,1981-W18,1981-05-03,19,1981-W19,1981-05-04,Non-Holiday,Weekday,1981-Q2,2
128,1981-05-08,128,5,Friday,May,1981,1981-May,8,128,18,1981-W18,1981-05-03,19,1981-W19,1981-05-04,Non-Holiday,Weekday,1981-Q2,2
129,1981-05-09,129,5,Saturday,May,1981,1981-May,9,129,18,1981-W18,1981-05-03,19,1981-W19,1981-05-04,Non-Holiday,Weekend,1981-Q2,2
130,1981-05-10,130,5,Sunday,May,1981,1981-May,10,130,19,1981-W19,1981-05-10,19,1981-W19,1981-05-04,Non-Holiday,Weekend,1981-Q2,2
131,1981-05-11,131,5,Monday,May,1981,1981-May,11,131,19,1981-W19,1981-05-10,20,1981-W20,1981-05-11,Non-Holiday,Weekday,1981-Q2,2
132,1981-05-12,132,5,Tuesday,May,1981,1981-May,12,132,19,1981-W19,1981-05-10,20,1981-W20,1981-05-11,Non-Holiday,Weekday,1981-Q2,2
133,1981-05-13,133,5,Wednesday,May,1981,1981-May,13,133,19,1981-W19,1981-05-10,20,1981-W20,1981-05-11,Non-Holiday,Weekday,1981-Q2,2
134,1981-05-14,134,5,Thursday,May,1981,1981-May,14,134,19,1981-W19,1981-05-10,20,1981-W20,1981-05-11,Non-Holiday,Weekday,1981-Q2,2
135,1981-05-15,135,5,Friday,May,1981,1981-May,15,135,19,1981-W19,1981-05-10,20,1981-W20,1981-05-11,Non-Holiday,Weekday,1981-Q2,2
136,1981-05-16,136,5,Saturday,May,1981,1981-May,16,136,19,1981-W19,1981-05-10,20,1981-W20,1981-05-11,Non-Holiday,Weekend,1981-Q2,2
137,1981-05-17,137,5,Sunday,May,1981,1981-May,17,137,20,1981-W20,1981-05-17,20,1981-W20,1981-05-11,Non-Holiday,Weekend,1981-Q2,2
138,1981-05-18,138,5,Monday,May,1981,1981-May,18,138,20,1981-W20,1981-05-17,21,1981-W21,1981-05-18,Non-Holiday,Weekday,1981-Q2,2
139,1981-05-19,139,5,Tuesday,May,1981,1981-May,19,139,20,1981-W20,1981-05-17,21,1981-W21,1981-05-18,Non-Holiday,Weekday,1981-Q2,2
140,1981-05-20,140,5,Wednesday,May,1981,1981-May,20,140,20,1981-W20,1981-05-17,21,1981-W21,1981-05-18,Non-Holiday,Weekday,1981-Q2,2
141,1981-05-21,141,5,Thursday,May,1981,1981-May,21,141,20,1981-W20,1981-05-17,21,1981-W21,1981-05-18,Non-Holiday,Weekday,1981-Q2,2
142,1981-05-22,142,5,Friday,May,1981,1981-May,22,142,20,1981-W20,1981-05-17,21,1981-W21,1981-05-18,Non-Holiday,Weekday,1981-Q2,2
143,1981-05-23,143,5,Saturday,May,1981,1981-May,23,143,20,1981-W20,1981-05-17,21,1981-W21,1981-05-18,Non-Holiday,Weekend,1981-Q2,2
144,1981-05-24,144,5,Sunday,May,1981,1981-May,24,144,21,1981-W21,1981-05-24,21,1981-W21,1981-05-18,Non-Holiday,Weekend,1981-Q2,2
145,1981-05-25,145,5,Monday,May,1981,1981-May,25,145,21,1981-W21,1981-05-24,22,1981-W22,1981-05-25,Non-Holiday,Weekday,1981-Q2,2
146,1981-05-26,146,5,Tuesday,May,1981,1981-May,26,146,21,1981-W21,1981-05-24,22,1981-W22,1981-05-25,Non-Holiday,Weekday,1981-Q2,2
147,1981-05-27,147,5,Wednesday,May,1981,1981-May,27,147,21,1981-W21,1981-05-24,22,1981-W22,1981-05-25,Non-Holiday,Weekday,1981-Q2,2
148,1981-05-28,148,5,Thursday,May,1981,1981-May,28,148,21,1981-W21,1981-05-24,22,1981-W22,1981-05-25,Non-Holiday,Weekday,1981-Q2,2
149,1981-05-29,149,5,Friday,May,1981,1981-May,29,149,21,1981-W21,1981-05-24,22,1981-W22,1981-05-25,Non-Holiday,Weekday,1981-Q2,2
150,1981-05-30,150,5,Saturday,May,1981,1981-May,30,150,21,1981-W21,1981-05-24,22,1981-W22,1981-05-25,Non-Holiday,Weekend,1981-Q2,2
151,1981-05-31,151,5,Sunday,May,1981,1981-May,31,151,22,1981-W22,1981-05-31,22,1981-W22,1981-05-25,Non-Holiday,Weekend,1981-Q2,2
152,1981-06-01,152,6,Monday,June,1981,1981-Jun,1,152,22,1981-W22,1981-05-31,23,1981-W23,1981-06-01,Non-Holiday,Weekday,1981-Q2,2
153,1981-06-02,153,6,Tuesday,June,1981,1981-Jun,2,153,22,1981-W22,1981-05-31,23,1981-W23,1981-06-01,Non-Holiday,Weekday,1981-Q2,2
154,1981-06-03,154,6,Wednesday,June,1981,1981-Jun,3,154,22,1981-W22,1981-05-31,23,1981-W23,1981-06-01,Non-Holiday,Weekday,1981-Q2,2
155,1981-06-04,155,6,Thursday,June,1981,1981-Jun,4,155,22,1981-W22,1981-05-31,23,1981-W23,1981-06-01,Non-Holiday,Weekday,1981-Q2,2
156,1981-06-05,156,6,Friday,June,1981,1981-Jun,5,156,22,1981-W22,1981-05-31,23,1981-W23,1981-06-01,Non-Holiday,Weekday,1981-Q2,2
157,1981-06-06,157,6,Saturday,June,1981,1981-Jun,6,157,22,1981-W22,1981-05-31,23,1981-W23,1981-06-01,Non-Holiday,Weekend,1981-Q2,2
158,1981-06-07,158,6,Sunday,June,1981,1981-Jun,7,158,23,1981-W23,1981-06-07,23,1981-W23,1981-06-01,Non-Holiday,Weekend,1981-Q2,2
159,1981-06-08,159,6,Monday,June,1981,1981-Jun,8,159,23,1981-W23,1981-06-07,24,1981-W24,1981-06-08,Non-Holiday,Weekday,1981-Q2,2
160,1981-06-09,160,6,Tuesday,June,1981,1981-Jun,9,160,23,1981-W23,1981-06-07,24,1981-W24,1981-06-08,Non-Holiday,Weekday,1981-Q2,2
